run,vinit,P,t,vrem
1,28.1,0.09,5,2.5
2,31.0,0.09,5,2.1
3,24.0,0.09,5,1.7
4,13.2,0.09,5,1.0
5,16.0,0.09,5,1.2
6,11.0,0.09,5,1.3
7,2.0,0.09,5,0.7
8,8.3,0.09,5,1.4
9,4.1,0.09,5,0.8
10,23.9,0.09,3,2.0
11,26.0,0.09,3,1.8
12,28.0,0.09,3,2.3
13,15.8,0.09,3,1.8
14,12.0,0.09,3,1.5
15,17.5,0.09,3,1.2
16,3.0,0.09,3,1.1
17,4.3,0.09,3,1.0
18,5.5,0.09,3,1.2
19,33.0,0.09,1,1.9
20,25.0,0.09,1,2.1
21,20.4,0.09,1,2.2
22,17.9,0.09,1,0.9
23,14.6,0.09,1,1.2
24,16.2,0.09,1,1.3
25,2.5,0.09,1,0.9
26,2.0,0.09,1,0.7
27,7.3,0.09,1,0.8
28,22.3,0.06,3,8.6
29,24.6,0.06,3,8.1
30,27.9,0.06,3,6.6
31,15.1,0.06,3,6.7
32,11.8,0.06,3,6.9
33,14.9,0.06,3,7.5
34,4.7,0.06,3,2.5
35,2.9,0.06,3,2.0
36,6.8,0.06,3,1.8
37,24.6,0.03,3,16.1
38,22.3,0.03,3,15.0
39,21.0,0.03,3,14.2
40,10.2,0.03,3,7.0
41,15.0,0.03,3,8.1
42,17.2,0.03,3,6.8
43,3.2,0.03,3,2.6
44,7.6,0.03,3,2.1
45,2.4,0.03,3,2.0
